file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,211,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,11
style.css,212,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,12
style.css,213,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,21
style.css,214,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,30
style.css,215,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,18
style.css,216,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,217,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,218,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,11
style.css,219,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,14
style.css,220,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,11
style.css,221,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,16
style.css,222,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,17
style.css,223,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,224,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,225,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,226,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,11
style.css,227,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,15
